"EDULIT_IND","Indicator","LOCATION","Country","TIME","Time","Value","Flag Codes","Flags"
"20060","Enrolment in pre-primary education, both sexes (number)","CHL","Chile","2015","2015",616237,,
"20060","Enrolment in pre-primary education, both sexes (number)","CHN","China","2015","2015",40507145,,
"20060","Enrolment in pre-primary education, both sexes (number)","COK","Cook Islands","2015","2015",514,,
"20060","Enrolment in pre-primary education, both sexes (number)","CRI","Costa Rica","2015","2015",112854,,
"20060","Enrolment in pre-primary education, both sexes (number)","CIV","Côte d'Ivoire","2015","2015",144128,,
"20060","Enrolment in pre-primary education, both sexes (number)","HRV","Croatia","2015","2015",110572,,
"20060","Enrolment in pre-primary education, both sexes (number)","CUB","Cuba","2015","2015",367628,,
"20060","Enrolment in pre-primary education, both sexes (number)","CYP","Cyprus","2015","2015",23560,,
"20060","Enrolment in pre-primary education, both sexes (number)","COD","Democratic Republic of the Congo","2015","2015",338658,,
"20060","Enrolment in pre-primary education, both sexes (number)","DJI","Djibouti","2015","2015",1856,,
"20060","Enrolment in pre-primary education, both sexes (number)","DMA","Dominica","2015","2015",1703,,
"20060","Enrolment in pre-primary education, both sexes (number)","DOM","Dominican Republic","2015","2015",281008,,
"20060","Enrolment in pre-primary education, both sexes (number)","ECU","Ecuador","2015","2015",686176,,
"20060","Enrolment in pre-primary education, both sexes (number)","SLV","El Salvador","2015","2015",230056,,
"20060","Enrolment in pre-primary education, both sexes (number)","GNQ","Equatorial Guinea","2015","2015",39596,,
"20060","Enrolment in pre-primary education, both sexes (number)","ERI","Eritrea","2015","2015",42122,,
"20060","Enrolment in pre-primary education, both sexes (number)","EST","Estonia","2015","2015",58750,,
"20060","Enrolment in pre-primary education, both sexes (number)","ETH","Ethiopia","2015","2015",2513127,,
"20060","Enrolment in pre-primary education, both sexes (number)","GMB","Gambia","2015","2015",97652,,
"20060","Enrolment in pre-primary education, both sexes (number)","GHA","Ghana","2015","2015",1766715,,
"20060","Enrolment in pre-primary education, both sexes (number)","GRD","Grenada","2015","2015",3400,,
"20060","Enrolment in pre-primary education, both sexes (number)","GTM","Guatemala","2015","2015",535747,,
"20060","Enrolment in pre-primary education, both sexes (number)","VAT","Holy See","2015","2015",,"a","Category not applicable"
"20060","Enrolment in pre-primary education, both sexes (number)","HND","Honduras","2015","2015",229396,,
"20060","Enrolment in pre-primary education, both sexes (number)","HKG","China, Hong Kong Special Administrative Region","2015","2015",178119,,
"20060","Enrolment in pre-primary education, both sexes (number)","IND","India","2015","2015",9260581,,
"20060","Enrolment in pre-primary education, both sexes (number)","IRN","Iran (Islamic Republic of)","2015","2015",672021,,
"20060","Enrolment in pre-primary education, both sexes (number)","ISR","Israel","2015","2015",516395,,
"20060","Enrolment in pre-primary education, both sexes (number)","JAM","Jamaica","2015","2015",114854,,
"20060","Enrolment in pre-primary education, both sexes (number)","JOR","Jordan","2015","2015",118386,,
"20060","Enrolment in pre-primary education, both sexes (number)","KAZ","Kazakhstan","2015","2015",852257,,
"20060","Enrolment in pre-primary education, both sexes (number)","KEN","Kenya","2015","2015",3167856,,
"20060","Enrolment in pre-primary education, both sexes (number)","KWT","Kuwait","2015","2015",80853,,
"20060","Enrolment in pre-primary education, both sexes (number)","KGZ","Kyrgyzstan","2015","2015",144904,,
"20060","Enrolment in pre-primary education, both sexes (number)","LAO","Lao People's Democratic Republic","2015","2015",164497,,
"20060","Enrolment in pre-primary education, both sexes (number)","LVA","Latvia","2015","2015",76069,,
"20060","Enrolment in pre-primary education, both sexes (number)","LBN","Lebanon","2015","2015",188334,,
"20060","Enrolment in pre-primary education, both sexes (number)","LSO","Lesotho","2015","2015",53530,,
"20060","Enrolment in pre-primary education, both sexes (number)","LBR","Liberia","2015","2015",625098,,
"20060","Enrolment in pre-primary education, both sexes (number)","LIE","Liechtenstein","2015","2015",798,,
"20060","Enrolment in pre-primary education, both sexes (number)","LTU","Lithuania","2015","2015",102295,,
"20060","Enrolment in pre-primary education, both sexes (number)","MKD","North Macedonia","2015","2015",24031,,
"20060","Enrolment in pre-primary education, both sexes (number)","MDG","Madagascar","2015","2015",378379,,
"20060","Enrolment in pre-primary education, both sexes (number)","MYS","Malaysia","2015","2015",934418,,
"20060","Enrolment in pre-primary education, both sexes (number)","MDV","Maldives","2015","2015",23412,,
"20060","Enrolment in pre-primary education, both sexes (number)","MLI","Mali","2015","2015",96627,,
"20060","Enrolment in pre-primary education, both sexes (number)","MLT","Malta","2015","2015",9217,,
"20060","Enrolment in pre-primary education, both sexes (number)","MHL","Marshall Islands","2015","2015",1205,,
"20060","Enrolment in pre-primary education, both sexes (number)","MRT","Mauritania","2015","2015",36182,,
"20060","Enrolment in pre-primary education, both sexes (number)","MUS","Mauritius","2015","2015",29832,,
"20060","Enrolment in pre-primary education, both sexes (number)","FSM","Micronesia (Federated States of)","2015","2015",2264,,
"20060","Enrolment in pre-primary education, both sexes (number)","MDA","Republic of Moldova","2015","2015",130937,,
"20060","Enrolment in pre-primary education, both sexes (number)","MCO","Monaco","2015","2015",989,,
"20060","Enrolment in pre-primary education, both sexes (number)","MNG","Mongolia","2015","2015",206636,,
"20060","Enrolment in pre-primary education, both sexes (number)","MAR","Morocco","2015","2015",729676,,
"20060","Enrolment in pre-primary education, both sexes (number)","NPL","Nepal","2015","2015",1014339,,
"20060","Enrolment in pre-primary education, both sexes (number)","NER","Niger","2015","2015",152629,,
"20060","Enrolment in pre-primary education, both sexes (number)","NIU","Niue","2015","2015",27,,
"20060","Enrolment in pre-primary education, both sexes (number)","PSE","Palestine","2015","2015",134876,,
"20060","Enrolment in pre-primary education, both sexes (number)","OMN","Oman","2015","2015",75395,,
"20060","Enrolment in pre-primary education, both sexes (number)","PAK","Pakistan","2015","2015",6829979,,
"20060","Enrolment in pre-primary education, both sexes (number)","PAN","Panama","2015","2015",114203,,
"20060","Enrolment in pre-primary education, both sexes (number)","PER","Peru","2015","2015",1578698,,
"20060","Enrolment in pre-primary education, both sexes (number)","PHL","Philippines","2015","2015",2211846,,
"20060","Enrolment in pre-primary education, both sexes (number)","PRI","Puerto Rico","2015","2015",37685,,
"20060","Enrolment in pre-primary education, both sexes (number)","QAT","Qatar","2015","2015",42615,,
"20060","Enrolment in pre-primary education, both sexes (number)","ROU","Romania","2015","2015",559565,,
"20060","Enrolment in pre-primary education, both sexes (number)","RUS","Russian Federation","2015","2015",5776033,,
"20060","Enrolment in pre-primary education, both sexes (number)","RWA","Rwanda","2015","2015",183658,,
"20060","Enrolment in pre-primary education, both sexes (number)","KNA","Saint Kitts and Nevis","2015","2015",1650,,
"20060","Enrolment in pre-primary education, both sexes (number)","LCA","Saint Lucia","2015","2015",3183,,
"20060","Enrolment in pre-primary education, both sexes (number)","VCT","Saint Vincent and the Grenadines","2015","2015",3342,,
"20060","Enrolment in pre-primary education, both sexes (number)","WSM","Samoa","2015","2015",4131,,
"20060","Enrolment in pre-primary education, both sexes (number)","STP","Sao Tome and Principe","2015","2015",8610,,
"20060","Enrolment in pre-primary education, both sexes (number)","SAU","Saudi Arabia","2015","2015",373534,,
"20060","Enrolment in pre-primary education, both sexes (number)","SEN","Senegal","2015","2015",208520,,
"20060","Enrolment in pre-primary education, both sexes (number)","SYC","Seychelles","2015","2015",2986,,
"20060","Enrolment in pre-primary education, both sexes (number)","SLE","Sierra Leone","2015","2015",59642,,
"20060","Enrolment in pre-primary education, both sexes (number)","SVN","Slovenia","2015","2015",60444,,
"20060","Enrolment in pre-primary education, both sexes (number)","SLB","Solomon Islands","2015","2015",48509,,
"20060","Enrolment in pre-primary education, both sexes (number)","ZAF","South Africa","2015","2015",862553,,
"20060","Enrolment in pre-primary education, both sexes (number)","LKA","Sri Lanka","2015","2015",319773,,
"20060","Enrolment in pre-primary education, both sexes (number)","SDN","Sudan","2015","2015",996765,,
"20060","Enrolment in pre-primary education, both sexes (number)","SUR","Suriname","2015","2015",18162,,
"20060","Enrolment in pre-primary education, both sexes (number)","TJK","Tajikistan","2015","2015",85777,,
"20060","Enrolment in pre-primary education, both sexes (number)","TZA","United Republic of Tanzania","2015","2015",1069823,,
"20060","Enrolment in pre-primary education, both sexes (number)","THA","Thailand","2015","2015",1636244,,
"20060","Enrolment in pre-primary education, both sexes (number)","TLS","Timor-Leste","2015","2015",18983,,
"20060","Enrolment in pre-primary education, both sexes (number)","TGO","Togo","2015","2015",115105,,
"20060","Enrolment in pre-primary education, both sexes (number)","TON","Tonga","2015","2015",2254,,
"20060","Enrolment in pre-primary education, both sexes (number)","TUN","Tunisia","2015","2015",238208,,
"20060","Enrolment in pre-primary education, both sexes (number)","TCA","Turks and Caicos Islands","2015","2015",1151,,
"20060","Enrolment in pre-primary education, both sexes (number)","TUV","Tuvalu","2015","2015",758,,
"20060","Enrolment in pre-primary education, both sexes (number)","UGA","Uganda","2015","2015",477123,,
"20060","Enrolment in pre-primary education, both sexes (number)","UKR","Ukraine","2015","2015",1093943,,
"20060","Enrolment in pre-primary education, both sexes (number)","ARE","United Arab Emirates","2015","2015",155483,,
"20060","Enrolment in pre-primary education, both sexes (number)","URY","Uruguay","2015","2015",131266,,
"20060","Enrolment in pre-primary education, both sexes (number)","UZB","Uzbekistan","2015","2015",620769,,
"20060","Enrolment in pre-primary education, both sexes (number)","VUT","Vanuatu","2015","2015",14301,,
"20060","Enrolment in pre-primary education, both sexes (number)","VEN","Venezuela (Bolivarian Republic of)","2015","2015",1330694,,
"20060","Enrolment in pre-primary education, both sexes (number)","VNM","Viet Nam","2015","2015",3754975,,
"20060","Enrolment in pre-primary education, both sexes (number)","ZMB","Zambia","2015","2015",142873,,
"20060","Enrolment in pre-primary education, both sexes (number)","MAC","China, Macao Special Administrative Region","2015","2015",14552,,
"20060","Enrolment in pre-primary education, both sexes (number)","SRB","Serbia","2015","2015",154304,,
"20060","Enrolment in pre-primary education, both sexes (number)","MNE","Montenegro","2015","2015",13046,,
"20060","Enrolment in pre-primary education, both sexes (number)","SSD","South Sudan","2015","2015",110824,,
"20062","Enrolment in primary education, both sexes (number)","AUS","Australia","2015","2015",2140571,,
"20062","Enrolment in primary education, both sexes (number)","AUT","Austria","2015","2015",327816.83333,,
"20062","Enrolment in primary education, both sexes (number)","BEL","Belgium","2015","2015",782606,,
"20062","Enrolment in primary education, both sexes (number)","CAN","Canada","2015","2015",2303964,,
"20062","Enrolment in primary education, both sexes (number)","CZE","Czechia","2015","2015",534932,,
"20062","Enrolment in primary education, both sexes (number)","DNK","Denmark","2015","2015",468536,,
"20062","Enrolment in primary education, both sexes (number)","FIN","Finland","2015","2015",355231,,
"20062","Enrolment in primary education, both sexes (number)","FRA","France","2015","2015",4255988,,
"20062","Enrolment in primary education, both sexes (number)","DEU","Germany","2015","2015",2879394,,
"20062","Enrolment in primary education, both sexes (number)","GRC","Greece","2015","2015",643762,,
"20062","Enrolment in primary education, both sexes (number)","HUN","Hungary","2015","2015",395549,,
"20062","Enrolment in primary education, both sexes (number)","ISL","Iceland","2015","2015",30422,,
"20062","Enrolment in primary education, both sexes (number)","IRL","Ireland","2015","2015",544856,,
"20062","Enrolment in primary education, both sexes (number)","ITA","Italy","2015","2015",2856247,,
"20062","Enrolment in primary education, both sexes (number)","JPN","Japan","2015","2015",6638174,,
"20062","Enrolment in primary education, both sexes (number)","KOR","Republic of Korea","2015","2015",2721766,,
"20062","Enrolment in primary education, both sexes (number)","LUX","Luxembourg","2015","2015",35920,,
"20062","Enrolment in primary education, both sexes (number)","MEX","Mexico","2015","2015",14397928,,
"20062","Enrolment in primary education, both sexes (number)","NLD","Netherlands","2015","2015",1208038,,
"20062","Enrolment in primary education, both sexes (number)","NZL","New Zealand","2015","2015",368306,,
"20062","Enrolment in primary education, both sexes (number)","NOR","Norway","2015","2015",430864,,
"20062","Enrolment in primary education, both sexes (number)","PRT","Portugal","2015","2015",656727,,
"20062","Enrolment in primary education, both sexes (number)","SVK","Slovakia","2015","2015",216266,,
"20062","Enrolment in primary education, both sexes (number)","ESP","Spain","2015","2015",3010404,,
"20062","Enrolment in primary education, both sexes (number)","SWE","Sweden","2015","2015",791893,,
"20062","Enrolment in primary education, both sexes (number)","CHE","Switzerland","2015","2015",490469,,
"20062","Enrolment in primary education, both sexes (number)","TUR","Turkey","2015","2015",5434150,,
"20062","Enrolment in primary education, both sexes (number)","GBR","United Kingdom of Great Britain and Northern Ireland","2015","2015",4621192,,
"20062","Enrolment in primary education, both sexes (number)","USA","United States of America","2015","2015",24785697.0405,,
"20062","Enrolment in primary education, both sexes (number)","AFG","Afghanistan","2015","2015",6199329,,
"20062","Enrolment in primary education, both sexes (number)","ALB","Albania","2015","2015",188371,,
"20062","Enrolment in primary education, both sexes (number)","DZA","Algeria","2015","2015",3925429,,
"20062","Enrolment in primary education, both sexes (number)","AND","Andorra","2015","2015",4164,,
"20062","Enrolment in primary education, both sexes (number)","AGO","Angola","2015","2015",5620915,,
"20062","Enrolment in primary education, both sexes (number)","ATG","Antigua and Barbuda","2015","2015",10077,,
"20062","Enrolment in primary education, both sexes (number)","ARG","Argentina","2015","2015",4784446,,
"20062","Enrolment in primary education, both sexes (number)","ARM","Armenia","2015","2015",144549,,
"20062","Enrolment in primary education, both sexes (number)","AZE","Azerbaijan","2015","2015",551118,,
"20062","Enrolment in primary education, both sexes (number)","BHS","Bahamas","2015","2015",32719,,
"20062","Enrolment in primary education, both sexes (number)","BHR","Bahrain","2015","2015",108154,,
"20062","Enrolment in primary education, both sexes (number)","BRB","Barbados","2015","2015",20909,,
"20062","Enrolment in primary education, both sexes (number)","BLR","Belarus","2015","2015",387051,,
"20062","Enrolment in primary education, both sexes (number)","BLZ","Belize","2015","2015",52072,,
"20062","Enrolment in primary education, both sexes (number)","BEN","Benin","2015","2015",2238185,,
"20062","Enrolment in primary education, both sexes (number)","BMU","Bermuda","2015","2015",4147,,
"20062","Enrolment in primary education, both sexes (number)","BTN","Bhutan","2015","2015",99291,,
"20062","Enrolment in primary education, both sexes (number)","BOL","Bolivia (Plurinational State of)","2015","2015",1345182,,
"20062","Enrolment in primary education, both sexes (number)","BIH","Bosnia and Herzegovina","2015","2015",162629,,
"20062","Enrolment in primary education, both sexes (number)","BWA","Botswana","2015","2015",344618,,
"20062","Enrolment in primary education, both sexes (number)","BRA","Brazil","2015","2015",16299166,,
"20062","Enrolment in primary education, both sexes (number)","VGB","British Virgin Islands","2015","2015",3358,,
"20062","Enrolment in primary education, both sexes (number)","BRN","Brunei Darussalam","2015","2015",40397,,
"20062","Enrolment in primary education, both sexes (number)","BGR","Bulgaria","2015","2015",261793,,
"20062","Enrolment in primary education, both sexes (number)","BFA","Burkina Faso","2015","2015",2706803,,
"20062","Enrolment in primary education, both sexes (number)","BDI","Burundi","2015","2015",2072408,,
"20062","Enrolment in primary education, both sexes (number)","KHM","Cambodia","2015","2015",2178916,,
"20062","Enrolment in primary education, both sexes (number)","CMR","Cameroon","2015","2015",4369988,,
"20062","Enrolment in primary education, both sexes (number)","CPV","Cabo Verde","2015","2015",65580,,
"20062","Enrolment in primary education, both sexes (number)","TCD","Chad","2015","2015",2270104,,
"20062","Enrolment in primary education, both sexes (number)","CHL","Chile","2015","2015",1477538,,
"20062","Enrolment in primary education, both sexes (number)","CHN","China","2015","2015",95958037,,
"20062","Enrolment in primary education, both sexes (number)","COL","Colombia","2015","2015",4479218,,
"20062","Enrolment in primary education, both sexes (number)","COK","Cook Islands","2015","2015",1789,,
"20062","Enrolment in primary education, both sexes (number)","CRI","Costa Rica","2015","2015",473447,,
"20062","Enrolment in primary education, both sexes (number)","CIV","Côte d'Ivoire","2015","2015",3370558,,
"20062","Enrolment in primary education, both sexes (number)","HRV","Croatia","2015","2015",162355,,
"20062","Enrolment in primary education, both sexes (number)","CUB","Cuba","2015","2015",745733,,
"20062","Enrolment in primary education, both sexes (number)","CYP","Cyprus","2015","2015",53773,,
"20062","Enrolment in primary education, both sexes (number)","COD","Democratic Republic of the Congo","2015","2015",13763196,,
"20062","Enrolment in primary education, both sexes (number)","DJI","Djibouti","2015","2015",62940,,
"20062","Enrolment in primary education, both sexes (number)","DMA","Dominica","2015","2015",7535,,
"20062","Enrolment in primary education, both sexes (number)","DOM","Dominican Republic","2015","2015",1307128,,
"20062","Enrolment in primary education, both sexes (number)","ECU","Ecuador","2015","2015",1998135,,
"20062","Enrolment in primary education, both sexes (number)","SLV","El Salvador","2015","2015",741394,,
"20062","Enrolment in primary education, both sexes (number)","GNQ","Equatorial Guinea","2015","2015",93396,,
"20062","Enrolment in primary education, both sexes (number)","ERI","Eritrea","2015","2015",361684,,
"20062","Enrolment in primary education, both sexes (number)","EST","Estonia","2015","2015",79594,,
"20062","Enrolment in primary education, both sexes (number)","ETH","Ethiopia","2015","2015",16198047,,
"20062","Enrolment in primary education, both sexes (number)","FJI","Fiji","2015","2015",108727,,
"20062","Enrolment in primary education, both sexes (number)","GMB","Gambia","2015","2015",293503,,
"20062","Enrolment in primary education, both sexes (number)","GEO","Georgia","2015","2015",288541,,
"20062","Enrolment in primary education, both sexes (number)","GHA","Ghana","2015","2015",4342315,,
"20062","Enrolment in primary education, both sexes (number)","GRD","Grenada","2015","2015",13445,,
"20062","Enrolment in primary education, both sexes (number)","GTM","Guatemala","2015","2015",2381916,,
"20062","Enrolment in primary education, both sexes (number)","VAT","Holy See","2015","2015",,"a","Category not applicable"
"20062","Enrolment in primary education, both sexes (number)","HND","Honduras","2015","2015",1154139,,
"20062","Enrolment in primary education, both sexes (number)","HKG","China, Hong Kong Special Administrative Region","2015","2015",332531,,
"20062","Enrolment in primary education, both sexes (number)","IND","India","2015","2015",138518028,,
"20062","Enrolment in primary education, both sexes (number)","IDN","Indonesia","2015","2015",29699771,,
"20062","Enrolment in primary education, both sexes (number)","IRN","Iran (Islamic Republic of)","2015","2015",7670175,,
"20062","Enrolment in primary education, both sexes (number)","ISR","Israel","2015","2015",883706,,
"20062","Enrolment in primary education, both sexes (number)","JAM","Jamaica","2015","2015",259449,,
"20062","Enrolment in primary education, both sexes (number)","KAZ","Kazakhstan","2015","2015",1196027,,
"20062","Enrolment in primary education, both sexes (number)","KEN","Kenya","2015","2015",8168710,,
"20062","Enrolment in primary education, both sexes (number)","KIR","Kiribati","2015","2015",15915,,
"20062","Enrolment in primary education, both sexes (number)","KWT","Kuwait","2015","2015",264185,,
"20062","Enrolment in primary education, both sexes (number)","KGZ","Kyrgyzstan","2015","2015",451212,,
"20062","Enrolment in primary education, both sexes (number)","LAO","Lao People's Democratic Republic","2015","2015",850466,,
"20062","Enrolment in primary education, both sexes (number)","LVA","Latvia","2015","2015",117303,,
"20062","Enrolment in primary education, both sexes (number)","LBN","Lebanon","2015","2015",491455,,
"20062","Enrolment in primary education, both sexes (number)","LSO","Lesotho","2015","2015",361637,,
"20062","Enrolment in primary education, both sexes (number)","LBR","Liberia","2015","2015",684404,,
"20062","Enrolment in primary education, both sexes (number)","LIE","Liechtenstein","2015","2015",1977,,
"20062","Enrolment in primary education, both sexes (number)","LTU","Lithuania","2015","2015",108038,,
"20062","Enrolment in primary education, both sexes (number)","MKD","North Macedonia","2015","2015",108827,,
"20062","Enrolment in primary education, both sexes (number)","MDG","Madagascar","2015","2015",4763524,,
"20062","Enrolment in primary education, both sexes (number)","MWI","Malawi","2015","2015",4204502,,
"20062","Enrolment in primary education, both sexes (number)","MYS","Malaysia","2015","2015",3107870,,
"20062","Enrolment in primary education, both sexes (number)","MDV","Maldives","2015","2015",42137,,
"20062","Enrolment in primary education, both sexes (number)","MLI","Mali","2015","2015",2227082,,
"20062","Enrolment in primary education, both sexes (number)","MLT","Malta","2015","2015",24624,,
"20062","Enrolment in primary education, both sexes (number)","MHL","Marshall Islands","2015","2015",8236,,
"20062","Enrolment in primary education, both sexes (number)","MRT","Mauritania","2015","2015",632761,,
"20062","Enrolment in primary education, both sexes (number)","MUS","Mauritius","2015","2015",101633,,
"20062","Enrolment in primary education, both sexes (number)","FSM","Micronesia (Federated States of)","2015","2015",13758,,
"20062","Enrolment in primary education, both sexes (number)","MDA","Republic of Moldova","2015","2015",138536,,
"20062","Enrolment in primary education, both sexes (number)","MCO","Monaco","2015","2015",1959,,
"20062","Enrolment in primary education, both sexes (number)","MNG","Mongolia","2015","2015",251204,,
"20062","Enrolment in primary education, both sexes (number)","MAR","Morocco","2015","2015",4039392,,
"20062","Enrolment in primary education, both sexes (number)","MOZ","Mozambique","2015","2015",5901996,"‡","UIS Estimation"
"20062","Enrolment in primary education, both sexes (number)","NPL","Nepal","2015","2015",4335355,,
"20062","Enrolment in primary education, both sexes (number)","NER","Niger","2015","2015",2444979,,
"20062","Enrolment in primary education, both sexes (number)","NIU","Niue","2015","2015",207,,
"20062","Enrolment in primary education, both sexes (number)","PSE","Palestine","2015","2015",450182,,
"20062","Enrolment in primary education, both sexes (number)","OMN","Oman","2015","2015",350544,,
"20062","Enrolment in primary education, both sexes (number)","PAK","Pakistan","2015","2015",19846822,,
"20062","Enrolment in primary education, both sexes (number)","PAN","Panama","2015","2015",417556,,
"20062","Enrolment in primary education, both sexes (number)","PER","Peru","2015","2015",3513439,,
"20062","Enrolment in primary education, both sexes (number)","PHL","Philippines","2015","2015",14453060,,
"20062","Enrolment in primary education, both sexes (number)","PRI","Puerto Rico","2015","2015",250579,,
"20062","Enrolment in primary education, both sexes (number)","QAT","Qatar","2015","2015",130464,,
"20062","Enrolment in primary education, both sexes (number)","ROU","Romania","2015","2015",947205,,
"20062","Enrolment in primary education, both sexes (number)","RUS","Russian Federation","2015","2015",5982572,,
"20062","Enrolment in primary education, both sexes (number)","RWA","Rwanda","2015","2015",2450705,,
"20062","Enrolment in primary education, both sexes (number)","KNA","Saint Kitts and Nevis","2015","2015",5466,,
"20062","Enrolment in primary education, both sexes (number)","LCA","Saint Lucia","2015","2015",16822,,
"20062","Enrolment in primary education, both sexes (number)","VCT","Saint Vincent and the Grenadines","2015","2015",13362,,
"20062","Enrolment in primary education, both sexes (number)","WSM","Samoa","2015","2015",31998,,
"20062","Enrolment in primary education, both sexes (number)","STP","Sao Tome and Principe","2015","2015",35558,,
"20062","Enrolment in primary education, both sexes (number)","SAU","Saudi Arabia","2015","2015",3494490,,
"20062","Enrolment in primary education, both sexes (number)","SEN","Senegal","2015","2015",1977388,,
"20062","Enrolment in primary education, both sexes (number)","SYC","Seychelles","2015","2015",8974,,
"20062","Enrolment in primary education, both sexes (number)","SLE","Sierra Leone","2015","2015",1360243,,
"20062","Enrolment in primary education, both sexes (number)","SVN","Slovenia","2015","2015",115560,,
"20062","Enrolment in primary education, both sexes (number)","SLB","Solomon Islands","2015","2015",104236,,
